time, value
0.04, 10.38000011
0.14, 11.17999935
0.24, 14.05999947
0.34, 18.71999931
0.44, 16.47999954
0.54, 16.8599987
0.64, 14.34000015
0.74, 14.97999954
0.84, 15.38000011
0.94, 15.27999973
1.04, 23.26000023
1.14, 34.36000061
1.24, 36.04000092
1.34, 35.65999985
1.44, 35.04000092
1.54, 34.31999969
1.64, 33.04000092
1.74, 32.5
1.84, 30.57999992
1.94, 30.3599987
2.04, 31.55999947
2.14, 31.23999977
2.24, 29.92000008
2.34, 29.34000015
2.44, 30.3599987
2.54, 30.73999977
2.64, 30.81999969
2.74, 29.01999855
2.84, 29.3599987
2.94, 29.87999916
3.04, 30.53999901
3.14, 32.18000031
3.24, 31.01999855
3.34, 33.18000031
3.44, 32.77999878
3.54, 32
3.64, 34.23999786
3.74, 32.65999985
3.84, 34.93999863
3.94, 35.41999817
4.04, 36.20000076
4.14, 35.39999771
4.24, 34.75999832
4.34, 33.31999969
4.44, 35.25999832
4.54, 36
4.64, 36.07999802
4.74, 35.36000061
4.84, 34.77999878
4.94, 35.11999893
5.04, 36.43999863
5.139, 36.09999847
5.239, 36.88000107
5.339, 37.61999893
5.439, 38.21999741
5.539, 37.70000076
5.639, 34.70000076
5.739, 37.20000076
5.839, 36.81999969
5.939, 36.68000031
6.039, 36.02000046
6.139, 35.13999939
6.239, 35.52000046
6.339, 37.93999863
6.439, 37.20000076
6.539, 36.47999954
6.639, 36.07999802
6.739, 36.21999741
6.839, 37.31999969
6.939, 35.89999771
7.039, 36.47999954
7.139, 36.5
7.239, 33.81999969
7.339, 35.88000107
7.439, 35.38000107
7.54, 36.68000031
7.639, 35.89999771
7.739, 35.47999954
7.839, 36.21999741
7.939, 35.93999863
8.039, 35.20000076
8.139, 35.86000061
8.239, 35.18000031
8.339, 35.18000031
8.439, 34.52000046
8.539, 35.38000107
8.639, 36.25999832
8.739, 36.75999832
8.839, 35.79999924
8.939, 36.25999832
9.039, 34.41999817
9.139, 33.81999969
9.239, 36.63999939
9.339, 35.71999741
9.439, 34.31999969
9.539, 34.07999802
9.639, 35.02000046
9.739, 35.79999924
9.839, 35.52000046
9.939, 35.75999832
10.04, 35.54000092
10.139, 35.91999817
10.239, 35.36000061
10.339, 35.93999863
10.439, 35.88000107
10.539, 34.20000076
10.639, 34.27999878
10.739, 34.05999756
10.839, 35.36000061
10.939, 35.27999878
11.039, 34.36000061
11.139, 32.73999786
