time, value
0.02, 43.40000153
0.12, 43.42499924
0.22, 43.40000153
0.32, 43.32500076
0.42, 43.35000229
0.52, 43.375
0.62, 43.375
0.72, 43.42499924
0.82, 43.5
0.92, 43.45000076
1.02, 43.35000229
1.12, 43.42499924
1.221, 43.42499924
1.32, 43.45000076
1.42, 43.35000229
1.52, 43.5
1.62, 43.42499924
1.72, 43.40000153
1.82, 43.45000076
1.92, 43.40000153
2.02, 43.5
2.12, 43.42499924
2.22, 43.40000153
2.32, 43.35000229
2.42, 43.42499924
2.52, 43.5
2.62, 43.40000153
2.72, 43.45000076
2.82, 43.42499924
2.92, 43.54999924
3.02, 43.35000229
3.12, 43.60000229
3.22, 43.5
3.32, 43.40000153
3.42, 43.47500229
3.52, 43.5
3.62, 43.47500229
3.72, 43.5
3.82, 43.47500229
3.92, 43.52500153
4.02, 43.5
4.12, 43.47500229
4.22, 43.54999924
4.32, 43.42499924
4.42, 43.47500229
4.52, 43.47500229
4.62, 43.54999924
4.72, 43.5
4.82, 43.54999924
4.92, 43.47500229
5.02, 43.47500229
5.12, 43.60000229
5.22, 43.47500229
5.32, 43.54999924
5.42, 43.54999924
5.52, 43.47500229
5.62, 43.57500076
5.72, 43.52500153
5.82, 43.5
5.92, 43.5
6.02, 43.57500076
6.12, 43.47500229
6.22, 43.47500229
6.32, 43.5
6.42, 43.47500229
6.52, 43.5
6.62, 43.5
6.72, 43.52500153
6.82, 43.5
6.92, 43.52500153
7.02, 43.54999924
7.12, 43.52500153
7.22, 43.60000229
7.32, 43.60000229
7.42, 43.5
7.52, 43.54999924
7.62, 43.54999924
7.72, 43.60000229
7.82, 43.5
7.92, 43.5
8.02, 43.60000229
8.12, 43.57500076
8.22, 43.52500153
8.32, 43.54999924
8.42, 43.60000229
8.52, 43.5
8.62, 43.60000229
8.72, 43.40000153
8.82, 43.52500153
8.92, 43.54999924
9.02, 43.47500229
9.12, 43.52500153
9.22, 43.60000229
9.32, 43.47500229
9.42, 43.5
9.52, 43.54999924
9.62, 43.60000229
9.72, 43.47500229
9.82, 43.57500076
9.92, 43.47500229
10.02, 43.5
10.12, 43.5
10.22, 43.54999924
10.32, 43.60000229
10.419, 43.54999924
10.52, 43.5
10.62, 43.47500229
10.719, 43.52500153
10.819, 43.5
10.919, 43.52500153
11.019, 43.47500229
11.119, 43.47500229
11.219, 43.57500076
11.319, 43.47500229
11.419, 43.47500229
11.519, 43.52500153
11.619, 43.47500229
11.719, 43.5
11.819, 43.52500153
11.919, 43.45000076
12.019, 43.40000153
12.119, 43.54999924
12.219, 43.52500153
12.319, 43.5
12.419, 43.54999924
12.519, 43.45000076
12.619, 43.57500076
12.719, 43.45000076
12.819, 43.52500153
12.919, 43.5
13.019, 43.47500229
13.119, 43.5
13.219, 43.45000076
13.319, 43.54999924
13.419, 43.54999924
13.519, 43.47500229
13.619, 43.54999924
13.719, 43.54999924
13.819, 43.47500229
13.919, 43.54999924
14.019, 43.54999924
14.119, 43.47500229
14.219, 43.54999924
14.319, 43.5
14.42, 43.52500153
14.519, 43.40000153
14.619, 43.5
14.719, 43.42499924
14.819, 43.60000229
14.919, 43.54999924
15.019, 43.52500153
15.119, 43.54999924
15.219, 43.60000229
15.319, 43.54999924
15.419, 43.5
15.519, 43.47500229
15.619, 43.54999924
15.719, 43.60000229
15.819, 43.52500153
15.919, 43.54999924
16.019, 43.47500229
16.119, 43.54999924
16.219, 43.45000076
16.319, 43.40000153
16.419, 43.47500229
16.519, 43.47500229
16.619, 43.42499924
16.72, 43.42499924
16.819, 43.5
16.919, 43.52500153
17.019, 43.54999924
17.12, 43.67499924
17.219, 43.57500076
17.319, 43.5
17.419, 43.57500076
