time, value
0.04, 4.200000286
0.14, 9.350000381
0.24, 40.375
0.34, 40.10000229
0.44, 41
0.54, 40.35000229
0.64, 40.5
0.74, 40.60000229
0.84, 40.47500229
0.94, 40.79999924
1.04, 41.32500076
1.14, 41.60000229
1.24, 40.77500153
1.34, 40.97500229
1.44, 41.625
1.54, 41.10000229
1.64, 42.17499924
1.74, 40.02500153
1.84, 41.70000076
1.94, 41.75
2.04, 41.67499924
2.14, 41.70000076
2.24, 41.5
2.34, 41
2.44, 41.25
2.54, 41.35000229
2.64, 41
2.74, 40.82500076
2.84, 41.20000076
2.94, 41.10000229
3.04, 40.95000076
3.14, 40.70000076
3.24, 40.57500076
3.34, 41.27500153
3.44, 41
3.54, 40.25
3.64, 41.20000076
3.74, 41.04999924
3.84, 41.29999924
3.94, 40.54999924
4.04, 42.32500076
4.14, 40.90000153
4.24, 39.67499924
4.34, 42
4.44, 39.82500076
4.54, 42.125
4.64, 41
4.74, 39.97500229
4.84, 41.82500076
4.94, 40.54999924
5.04, 40.10000229
5.139, 41.20000076
5.239, 40.65000153
5.339, 40.60000229
5.439, 41.40000153
5.539, 41.77500153
5.639, 41.82500076
5.739, 40.04999924
5.839, 41.57500076
5.939, 41.40000153
6.039, 39.70000076
6.139, 41.67499924
6.239, 41.42499924
6.339, 40.52500153
6.439, 40.32500076
6.539, 39.5
6.639, 41.15000153
6.739, 41.72500229
6.839, 39.97500229
6.939, 41.60000229
7.039, 42.125
7.139, 41.54999924
7.239, 40.75
7.339, 40.85000229
7.439, 41
7.54, 42.02500153
7.639, 40.5
7.739, 41.95000076
7.839, 40.54999924
7.939, 41.90000153
8.039, 41.20000076
8.139, 40.67499924
8.239, 40.875
8.339, 41.52500153
8.439, 40.27500153
8.539, 41
8.639, 41.75
8.739, 40.20000076
8.839, 41.125
8.939, 41.75
9.039, 40.32500076
9.139, 41.67499924
9.239, 41.17499924
9.339, 40.17499924
9.439, 41.40000153
9.539, 40.75
9.639, 41.17499924
9.739, 41.25
9.839, 41.77500153
9.939, 39.92499924
10.04, 41.75
10.139, 41.27500153
10.239, 41.29999924
10.339, 41.25
10.439, 40.20000076
10.539, 41.375
10.639, 40.40000153
10.739, 41.57500076
10.839, 40.75
10.939, 40.70000076
11.039, 41.57500076
11.139, 41
11.239, 40.60000229
11.339, 41.625
11.439, 40.875
11.539, 40.45000076
11.639, 41.40000153
11.739, 41.29999924
11.839, 40.17499924
11.939, 41.45000076
12.039, 41.02500153
12.139, 41.75
12.239, 40.25
12.339, 40.29999924
12.439, 41.625
12.539, 40.57500076
12.639, 40.60000229
12.739, 41.82500076
12.839, 41.52500153
12.939, 41.77500153
13.039, 41.57500076
13.139, 40.40000153
13.239, 40.125
13.339, 40.875
13.439, 40.77500153
13.539, 40.52500153
13.639, 41.02500153
13.739, 41.57500076
13.839, 41.90000153
13.939, 41.5
14.039, 40.375
14.139, 41.67499924
14.239, 41.90000153
14.339, 41.27500153
14.439, 40.125
14.54, 41.625
14.639, 40.40000153
14.739, 41.22500229
14.839, 40.32500076
14.939, 40.27500153
15.039, 41
15.139, 41.54999924
15.239, 40.22500229
15.339, 40.29999924
15.439, 41.90000153
15.539, 40.79999924
15.639, 40.54999924
15.739, 40.97500229
15.839, 41.77500153
15.939, 40.95000076
16.039, 40.70000076
16.139, 41.20000076
16.239, 40.72500229
16.339, 41.60000229
16.439, 41.60000229
16.539, 41.47500229
16.639, 41.52500153
16.739, 41
16.839, 40.47500229
16.939, 40.67499924
17.039, 40.60000229
17.139, 41
17.24, 41.27500153
17.339, 41.47500229
17.439, 40.97500229
17.539, 40.92499924
17.639, 40.72500229
17.739, 41.47500229
17.839, 40.77500153
17.939, 41.29999924
18.039, 41.07500076
18.139, 41.15000153
18.239, 40.97500229
18.339, 40.75
18.439, 40.92499924
18.539, 41.27500153
18.639, 41
18.739, 40.65000153
18.839, 40.92499924
18.939, 41.15000153
19.039, 40.85000229
19.139, 41.22500229
19.239, 40.65000153
19.339, 41.47500229
19.439, 40.75
19.539, 41.47500229
19.639, 40.82500076
19.739, 41.27500153
19.839, 40.57500076
19.939, 41.17499924
20.039, 41.125
20.139, 41.15000153
20.239, 41.29999924
20.339, 41.32500076
20.439, 41.25
20.539, 41.22500229
20.639, 41.35000229
20.739, 40.85000229
20.839, 41.04999924
20.939, 40.92499924
21.039, 40.79999924
21.139, 41
21.239, 40.82500076
21.339, 41.29999924
21.439, 41.22500229
21.539, 41.02500153
21.639, 40.70000076
21.74, 41.29999924
