time, value
0.04, 1.497346044
0.14, 1.500174046
0.24, 1.500174046
0.34, 1.498760104
0.44, 1.500174046
0.54, 1.500174046
0.64, 1.500174046
0.74, 1.498760104
0.84, 1.501588106
0.94, 1.498760104
1.04, 1.501588106
1.14, 1.498760104
1.24, 1.500174046
1.34, 1.500174046
1.44, 1.500174046
1.54, 1.501588106
1.64, 1.500174046
1.74, 1.501588106
1.84, 1.500174046
1.94, 1.500174046
2.04, 1.500174046
2.14, 1.500174046
2.24, 1.500174046
2.34, 1.501588106
2.44, 1.501588106
2.54, 1.497346044
2.64, 1.501588106
2.74, 1.497346044
2.84, 1.501588106
2.94, 1.500174046
3.04, 1.498760104
3.14, 1.500174046
3.24, 1.498760104
3.34, 1.500174046
3.44, 1.498760104
3.54, 1.497346044
3.64, 1.498760104
3.74, 1.500174046
3.84, 1.501588106
3.94, 1.497346044
4.04, 1.501588106
4.14, 1.498760104
4.24, 1.500174046
4.34, 1.497346044
4.44, 1.503002048
4.54, 1.500174046
4.64, 1.497346044
4.74, 1.501588106
4.84, 1.500174046
4.94, 1.501588106
5.04, 1.497346044
5.139, 1.497346044
5.239, 1.498760104
5.339, 1.497346044
5.439, 1.498760104
5.539, 1.500174046
5.639, 1.501588106
5.739, 1.501588106
5.839, 1.500174046
5.939, 1.497346044
6.039, 1.501588106
6.139, 1.498760104
6.239, 1.498760104
6.339, 1.503002048
6.439, 1.497346044
6.539, 1.500174046
6.639, 1.498760104
6.739, 1.501588106
6.839, 1.501588106
6.939, 1.497346044
7.039, 1.501588106
7.139, 1.503002048
7.239, 1.500174046
7.339, 1.497346044
7.439, 1.497346044
7.54, 1.498760104
7.639, 1.500174046
7.739, 1.497346044
7.839, 1.501588106
7.939, 1.500174046
8.039, 1.497346044
8.139, 1.498760104
8.239, 1.498760104
8.339, 1.497346044
8.439, 1.501588106
8.539, 1.497346044
8.639, 1.498760104
8.739, 1.500174046
8.839, 1.500174046
8.939, 1.497346044
9.039, 1.501588106
9.139, 1.497346044
9.239, 1.500174046
9.339, 1.498760104
9.439, 1.501588106
9.539, 1.497346044
9.639, 1.501588106
9.739, 1.500174046
9.839, 1.497346044
9.939, 1.501588106
10.04, 1.501588106
10.139, 1.497346044
10.239, 1.497346044
10.339, 1.500174046
10.439, 1.504416108
10.539, 1.503002048
10.639, 1.501588106
10.739, 1.501588106
10.839, 1.500174046
10.939, 1.500174046
11.039, 1.501588106
11.139, 1.500174046
11.239, 1.500174046
11.339, 1.500174046
11.439, 1.498760104
11.539, 1.498760104
11.639, 1.501588106
11.739, 1.503002048
11.839, 1.497346044
11.939, 1.498760104
12.039, 1.504416108
12.139, 1.497346044
12.239, 1.504416108
12.339, 1.498760104
12.439, 1.500174046
12.539, 1.497346044
12.639, 1.500174046
12.739, 1.497346044
12.839, 1.504416108
12.939, 1.497346044
13.039, 1.503002048
13.139, 1.497346044
13.239, 1.497346044
13.339, 1.503002048
13.439, 1.500174046
13.539, 1.500174046
13.639, 1.501588106
13.739, 1.498760104
13.839, 1.497346044
13.939, 1.498760104
14.039, 1.498760104
14.139, 1.503002048
14.239, 1.501588106
14.339, 1.500174046
14.439, 1.500174046
14.54, 1.500174046
14.639, 1.497346044
14.739, 1.497346044
14.839, 1.498760104
14.939, 1.498760104
15.039, 1.500174046
15.139, 1.501588106
15.239, 1.501588106
15.339, 1.504416108
15.439, 1.504416108
15.539, 1.500174046
15.639, 1.497346044
15.739, 1.497346044
15.839, 1.498760104
15.939, 1.500174046
16.039, 1.497346044
16.139, 1.497346044
16.239, 1.503002048
16.339, 1.498760104
16.439, 1.497346044
16.539, 1.504416108
16.639, 1.498760104
16.739, 1.500174046
16.839, 1.497346044
16.939, 1.498760104
17.039, 1.497346044
17.139, 1.501588106
17.24, 1.497346044
17.339, 1.501588106
17.439, 1.497346044
17.539, 1.503002048
17.639, 1.500174046
17.739, 1.497346044
17.839, 1.501588106
17.939, 1.497346044
18.039, 1.497346044
18.139, 1.504416108
18.239, 1.503002048
18.339, 1.497346044
18.439, 1.497346044
18.539, 1.500174046
18.639, 1.504416108
18.739, 1.500174046
18.839, 1.497346044
18.939, 1.497346044
19.039, 1.497346044
19.139, 1.497346044
19.239, 1.500174046
19.339, 1.498760104
19.439, 1.497346044
19.539, 1.497346044
19.639, 1.497346044
19.739, 1.497346044
19.839, 1.497346044
19.939, 1.498760104
20.039, 1.498760104
20.139, 1.501588106
20.239, 1.501588106
20.339, 1.497346044
20.439, 1.497346044
20.539, 1.500174046
20.639, 1.504416108
20.739, 1.497346044
20.839, 1.497346044
20.939, 1.500174046
21.039, 1.504416108
21.139, 1.497346044
21.239, 1.504416108
21.339, 1.501588106
21.439, 1.497346044
21.539, 1.504416108
21.639, 1.497346044
21.74, 1.503002048
21.839, 1.497346044
21.939, 1.501588106
22.039, 1.497346044
22.139, 1.504416108
22.239, 1.497346044
22.339, 1.501588106
22.439, 1.500174046
22.539, 1.497346044
22.639, 1.497346044
22.739, 1.504416108
22.839, 1.498760104
22.939, 1.497346044
23.039, 1.498760104
23.139, 1.503002048
23.239, 1.503002048
23.339, 1.501588106
23.439, 1.498760104
23.539, 1.497346044
23.639, 1.497346044
23.739, 1.497346044
23.839, 1.497346044
23.939, 1.498760104
24.039, 1.497346044
24.139, 1.498760104
24.239, 1.498760104
24.339, 1.498760104
24.439, 1.498760104
24.539, 1.500174046
24.639, 1.503002048
24.739, 1.501588106
24.839, 1.497346044
24.939, 1.498760104
25.038, 1.500174046
25.138, 1.503002048
25.238, 1.497346044
25.338, 1.500174046
25.438, 1.503002048
25.538, 1.500174046
25.638, 1.497346044
25.738, 1.504416108
25.838, 1.497346044
25.938, 1.500174046
26.038, 1.500174046
26.138, 1.497346044
26.238, 1.501588106
26.338, 1.497346044
26.438, 1.500174046
26.538, 1.501588106
26.638, 1.498760104
26.738, 1.498760104
26.838, 1.498760104
26.939, 1.504416108
27.038, 1.497346044
27.138, 1.501588106
27.238, 1.500174046
27.338, 1.498760104
27.438, 1.501588106
27.538, 1.501588106
27.639, 1.497346044
27.738, 1.497346044
27.838, 1.498760104
27.938, 1.501588106
28.038, 1.501588106
28.138, 1.501588106
28.238, 1.500174046
28.338, 1.500174046
28.438, 1.500174046
28.538, 1.497346044
28.638, 1.497346044
28.738, 1.497346044
28.838, 1.501588106
28.938, 1.504416108
29.038, 1.500174046
29.138, 1.497346044
29.238, 1.498760104
29.338, 1.501588106
29.438, 1.498760104
29.538, 1.500174046
29.638, 1.504416108
29.738, 1.497346044
29.838, 1.501588106
29.938, 1.501588106
30.038, 1.498760104
30.138, 1.500174046
30.238, 1.500174046
30.338, 1.498760104
30.438, 1.501588106
30.538, 1.497346044
30.638, 1.501588106
30.738, 1.503002048
30.838, 1.497346044
30.939, 1.497346044
31.039, 1.503002048
31.138, 1.500174046
31.238, 1.498760104
31.338, 1.498760104
31.438, 1.497346044
31.538, 1.498760104
31.638, 1.500174046
31.738, 1.501588106
31.838, 1.500174046
31.938, 1.501588106
32.038, 1.501588106
32.138, 1.501588106
32.238, 1.501588106
32.338, 1.501588106
32.438, 1.500174046
32.538, 1.500174046
32.638, 1.503002048
32.738, 1.501588106
