time, value
0.8, 79
1.8, 79
2.8, 79
3.8, 79
4.8, 79
5.799, 79
6.799, 79
7.799, 79
8.799, 79
9.799, 79
10.799, 79
11.799, 79
12.799, 79
13.799, 79
14.799, 79
15.799, 79
16.799, 79
17.799, 79
18.799, 79
19.799, 79
20.799, 79
21.799, 79
22.799, 79
23.799, 79
24.799, 79
25.798, 79
26.798, 79
27.798, 79
28.798, 79
29.798, 79
30.798, 79
31.798, 79
32.798, 79
33.798, 79
34.798, 79
35.798, 79
36.798, 79
37.798, 80.80000305
38.798, 80.80000305
39.798, 80.80000305
40.798, 80.80000305
41.798, 80.80000305
42.798, 80.80000305
43.798, 80.80000305
44.798, 80.80000305
45.797, 80.80000305
46.797, 80.80000305
47.797, 80.80000305
48.797, 80.80000305
49.797, 80.80000305
50.797, 80.80000305
51.797, 80.80000305
52.797, 80.80000305
53.797, 80.80000305
54.797, 80.80000305
55.797, 80.80000305
56.797, 80.80000305
57.797, 80.80000305
58.797, 80.80000305
59.797, 80.80000305
60.797, 80.80000305
61.797, 80.80000305
62.797, 82.59999847
63.797, 82.59999847
64.797, 82.59999847
65.796, 82.59999847
66.797, 82.59999847
67.796, 82.59999847
68.796, 82.59999847
69.796, 82.59999847
70.796, 82.59999847
71.796, 82.59999847
72.796, 82.59999847
73.796, 82.59999847
74.796, 82.59999847
75.796, 82.59999847
76.796, 82.59999847
77.796, 82.59999847
78.796, 82.59999847
79.796, 82.59999847
80.796, 82.59999847
81.796, 84.40000153
82.796, 84.40000153
83.796, 84.40000153
84.796, 84.40000153
85.795, 84.40000153
86.795, 84.40000153
87.795, 84.40000153
88.795, 84.40000153
89.795, 84.40000153
90.795, 84.40000153
91.795, 84.40000153
92.796, 86.20000458
93.795, 86.20000458
94.795, 86.20000458
95.795, 86.20000458
96.795, 86.20000458
97.795, 86.20000458
98.795, 86.20000458
99.795, 86.20000458
100.795, 86.20000458
101.795, 86.20000458
102.795, 86.20000458
103.795, 86.20000458
104.795, 86.20000458
105.794, 86.20000458
106.794, 88
107.794, 88
108.794, 88
109.794, 88
110.794, 88
111.794, 88
112.794, 88
113.794, 88
114.794, 88
115.794, 88
116.794, 88
117.794, 88
118.794, 88
119.794, 89.80000305
120.794, 89.80000305
121.794, 89.80000305
122.794, 89.80000305
123.794, 89.80000305
124.794, 89.80000305
125.793, 89.80000305
126.793, 89.80000305
127.793, 89.80000305
128.793, 89.80000305
129.793, 89.80000305
130.793, 89.80000305
131.793, 91.59999847
132.793, 91.59999847
133.793, 91.59999847
134.793, 91.59999847
135.793, 91.59999847
136.793, 91.59999847
137.794, 91.59999847
138.793, 91.59999847
139.793, 91.59999847
140.793, 93.40000153
141.793, 93.40000153
142.793, 93.40000153
143.793, 93.40000153
144.793, 93.40000153
