time, value
0.02, 0
0.12, 0
0.22, 0
0.32, 4731
0.42, -4637
0.52, -2526
0.62, -670
0.72, -2075
0.82, 657
0.92, -1400
1.02, 10000
1.12, 8960
1.22, 5031
1.32, 1105
1.42, 455
1.52, 2021
1.62, -704
1.72, -909
1.82, -409
1.92, 2222
2.02, 1091
2.12, -2466
2.22, -2498
2.32, 1348
2.42, 5748
2.52, 4706
2.62, 1178
2.72, -2892
2.82, -1055
2.92, 1890
3.02, 2784
3.12, 2987
3.22, -2619
3.32, 2225
3.42, 1270
3.52, -398
3.62, 859
3.72, -260
3.82, 1627
3.92, 64
4.02, -1910
4.12, -2170
4.22, -1966
4.32, 669
4.42, 227
4.52, 1323
4.62, -2528
4.72, -3101
4.82, -4061
4.92, -2247
5.02, -303
5.12, -170
5.22, -285
5.32, 1465
5.42, -33
5.52, -1247
5.62, -3363
5.72, 3984
5.82, 922
5.92, -4609
6.02, -4011
6.12, -2614
6.22, 2418
6.32, 2572
6.42, -418
6.52, -960
6.62, -2856
6.72, -362
6.82, 2789
6.92, -4455
7.02, -1731
7.12, -1309
7.22, -3283
7.32, 711
7.42, 524
7.519, 1425
7.619, -944
7.72, -1542
7.82, -5022
7.919, -2983
8.019, -4174
8.119, -4155
8.219, -1769
8.319, -4716
8.419, -1316
8.519, 5274
8.619, -237
8.719, -1359
8.819, -2093
8.919, -2484
9.019, -4037
9.119, 2847
9.219, 2445
9.319, -132
9.419, -2071
9.519, 2241
9.619, -452
9.719, 3253
9.819, -1450
9.919, -196
10.019, 0
10.119, -501
10.219, -1276
10.319, 721
10.419, -3023
10.519, 2326
10.619, -596
10.719, -841
10.819, 4402
10.919, -1615
11.019, -2994
11.119, -64
11.219, 951
11.319, 4191
11.419, 574
11.519, -2790
11.619, 63
11.719, 2753
11.819, 4572
11.919, 4044
12.019, -4897
12.119, -3878
12.219, -4780
12.319, 3006
12.419, 1088
12.519, 1424
12.619, 537
12.719, -3770
12.819, -2094
12.919, 439
13.019, -2154
13.119, 343
13.219, -3315
13.319, 2423
13.419, -1805
13.519, -2272
13.619, -1240
13.719, -1779
13.819, -887
13.919, -1277
14.019, -329
14.119, -926
14.219, -1463
14.319, -3286
14.419, -2879
14.519, -2823
14.619, -2471
14.719, 376
14.819, -2134
14.919, -4178
15.019, -313
15.119, -2575
15.219, -2356
15.319, -2322
15.419, -799
15.519, 699
15.619, 3414
15.719, 1631
15.819, -355
15.919, 78
16.019, 2188
16.119, 3482
16.219, 4752
16.319, 2054
16.419, 3387
16.519, 631
16.619, -975
16.719, -1369
16.819, -1028
16.92, 2432
17.019, 3069
17.119, 6455
17.219, 2723
17.319, 1852
17.419, 892
17.519, 1822
17.619, -326
17.719, 1413
17.819, 1323
17.919, -1680
18.019, -815
18.119, 561
18.219, -2051
18.319, -741
18.419, -470
18.519, 844
18.619, 1465
18.719, 1400
