time, value
0.02, 1.500174046
0.12, 1.500174046
0.22, 1.500174046
0.32, 1.500174046
0.42, 1.500174046
0.52, 1.498760104
0.62, 1.500174046
0.72, 1.500174046
0.82, 1.500174046
0.92, 1.500174046
1.02, 1.497346044
1.12, 1.500174046
1.221, 1.498760104
1.32, 1.501588106
1.42, 1.500174046
1.52, 1.500174046
1.62, 1.501588106
1.72, 1.500174046
1.82, 1.500174046
1.92, 1.500174046
2.02, 1.500174046
2.12, 1.500174046
2.22, 1.500174046
2.32, 1.500174046
2.42, 1.498760104
2.52, 1.500174046
2.62, 1.500174046
2.72, 1.500174046
2.82, 1.498760104
2.92, 1.500174046
3.02, 1.500174046
3.12, 1.500174046
3.22, 1.498760104
3.32, 1.500174046
3.42, 1.500174046
3.52, 1.500174046
3.62, 1.500174046
3.72, 1.500174046
3.82, 1.498760104
3.92, 1.500174046
4.02, 1.498760104
4.12, 1.500174046
4.22, 1.497346044
4.32, 1.498760104
4.42, 1.500174046
4.52, 1.500174046
4.62, 1.500174046
4.72, 1.500174046
4.82, 1.498760104
4.92, 1.498760104
5.02, 1.498760104
5.12, 1.500174046
5.22, 1.500174046
5.32, 1.500174046
5.42, 1.498760104
5.52, 1.498760104
5.62, 1.500174046
5.72, 1.500174046
5.82, 1.498760104
5.92, 1.501588106
6.02, 1.498760104
6.12, 1.497346044
6.22, 1.498760104
6.32, 1.497346044
6.42, 1.500174046
6.52, 1.500174046
6.62, 1.500174046
6.72, 1.500174046
6.82, 1.500174046
6.92, 1.500174046
7.02, 1.498760104
7.12, 1.498760104
7.22, 1.500174046
7.32, 1.500174046
7.42, 1.497346044
7.52, 1.500174046
7.62, 1.500174046
7.72, 1.500174046
7.82, 1.500174046
7.92, 1.500174046
8.02, 1.500174046
8.12, 1.498760104
8.22, 1.500174046
8.32, 1.501588106
8.42, 1.501588106
8.52, 1.500174046
8.62, 1.500174046
8.72, 1.498760104
8.82, 1.500174046
8.92, 1.500174046
9.02, 1.500174046
9.12, 1.500174046
9.22, 1.500174046
9.32, 1.498760104
9.42, 1.500174046
9.52, 1.498760104
9.62, 1.497346044
9.72, 1.500174046
9.82, 1.498760104
9.92, 1.500174046
10.02, 1.500174046
10.12, 1.498760104
10.22, 1.498760104
10.32, 1.500174046
10.419, 1.500174046
10.52, 1.500174046
10.62, 1.500174046
10.719, 1.500174046
10.819, 1.500174046
10.919, 1.500174046
11.019, 1.500174046
11.119, 1.501588106
11.219, 1.498760104
11.319, 1.497346044
11.419, 1.500174046
11.519, 1.501588106
11.619, 1.500174046
11.719, 1.500174046
11.819, 1.500174046
11.919, 1.500174046
12.019, 1.500174046
12.119, 1.500174046
12.219, 1.500174046
12.319, 1.500174046
12.419, 1.501588106
12.519, 1.500174046
12.619, 1.498760104
12.719, 1.497346044
12.819, 1.498760104
12.919, 1.500174046
13.019, 1.500174046
13.119, 1.498760104
13.219, 1.500174046
13.319, 1.500174046
13.419, 1.500174046
13.519, 1.498760104
13.619, 1.498760104
13.719, 1.498760104
13.819, 1.500174046
13.919, 1.500174046
14.019, 1.498760104
14.119, 1.500174046
14.219, 1.498760104
14.319, 1.500174046
14.42, 1.500174046
14.519, 1.500174046
14.619, 1.498760104
14.719, 1.500174046
14.819, 1.500174046
14.919, 1.500174046
15.019, 1.498760104
15.119, 1.500174046
15.219, 1.500174046
15.319, 1.497346044
15.419, 1.500174046
15.519, 1.500174046
15.619, 1.500174046
15.719, 1.500174046
15.819, 1.500174046
15.919, 1.498760104
16.019, 1.500174046
16.119, 1.498760104
16.219, 1.500174046
16.319, 1.500174046
16.419, 1.498760104
16.519, 1.500174046
16.619, 1.500174046
16.72, 1.500174046
16.819, 1.500174046
16.919, 1.497346044
17.019, 1.500174046
17.12, 1.498760104
17.219, 1.498760104
17.319, 1.500174046
17.419, 1.498760104
17.52, 1.500174046
17.619, 1.500174046
17.719, 1.500174046
17.819, 1.500174046
17.919, 1.498760104
18.019, 1.500174046
18.119, 1.498760104
18.219, 1.500174046
18.319, 1.500174046
18.419, 1.497346044
18.519, 1.498760104
18.619, 1.500174046
18.719, 1.500174046
18.819, 1.500174046
18.919, 1.497346044
19.019, 1.501588106
19.119, 1.497346044
19.219, 1.498760104
19.319, 1.498760104
19.419, 1.500174046
19.519, 1.500174046
19.619, 1.497346044
19.719, 1.500174046
19.819, 1.500174046
19.919, 1.501588106
20.019, 1.500174046
20.119, 1.500174046
20.219, 1.500174046
20.319, 1.501588106
20.419, 1.497346044
20.519, 1.500174046
20.619, 1.498760104
20.719, 1.497346044
20.819, 1.500174046
20.919, 1.498760104
21.019, 1.498760104
21.119, 1.500174046
21.219, 1.498760104
21.319, 1.498760104
21.419, 1.497346044
21.519, 1.500174046
21.619, 1.500174046
21.719, 1.500174046
21.819, 1.500174046
21.919, 1.497346044
22.019, 1.498760104
22.119, 1.501588106
22.219, 1.498760104
22.319, 1.500174046
22.419, 1.498760104
22.519, 1.500174046
22.619, 1.500174046
22.719, 1.498760104
22.819, 1.500174046
22.919, 1.500174046
23.019, 1.497346044
23.119, 1.500174046
23.219, 1.500174046
23.319, 1.500174046
23.419, 1.500174046
23.519, 1.500174046
23.619, 1.500174046
23.719, 1.500174046
23.819, 1.500174046
23.919, 1.500174046
24.019, 1.500174046
24.119, 1.500174046
24.219, 1.497346044
24.319, 1.500174046
24.419, 1.500174046
24.519, 1.500174046
24.619, 1.497346044
24.719, 1.498760104
24.819, 1.498760104
24.919, 1.498760104
25.019, 1.500174046
25.119, 1.500174046
25.219, 1.497346044
25.319, 1.500174046
25.419, 1.500174046
25.519, 1.500174046
25.619, 1.498760104
25.719, 1.497346044
25.819, 1.500174046
25.919, 1.498760104
26.019, 1.501588106
26.119, 1.500174046
26.219, 1.500174046
26.319, 1.500174046
26.419, 1.500174046
26.519, 1.498760104
26.619, 1.500174046
26.719, 1.500174046
26.819, 1.500174046
26.919, 1.500174046
27.019, 1.500174046
27.119, 1.500174046
27.219, 1.500174046
27.319, 1.498760104
27.419, 1.500174046
27.519, 1.500174046
27.619, 1.501588106
27.719, 1.500174046
27.819, 1.500174046
27.919, 1.498760104
28.019, 1.500174046
28.119, 1.500174046
28.219, 1.500174046
28.319, 1.500174046
28.419, 1.497346044
28.519, 1.497346044
28.619, 1.498760104
28.719, 1.500174046
28.819, 1.500174046
28.919, 1.497346044
29.019, 1.498760104
29.12, 1.500174046
29.219, 1.500174046
29.319, 1.501588106
29.419, 1.500174046
29.519, 1.500174046
29.619, 1.500174046
29.719, 1.497346044
