time, value
0.02, 20.29999924
0.12, 21.76000023
0.22, 18.73999977
0.32, 18.05999947
0.42, 18.5
0.52, 18.29999924
0.62, 17.87999916
0.72, 20.45999908
0.82, 21.31999969
0.92, 20.81999969
1.02, 21.21999931
1.12, 22.15999985
1.221, 21.71999931
1.32, 23.13999939
1.42, 22.51999855
1.52, 23.57999992
1.62, 23.11999893
1.72, 21.95999908
1.82, 23.61999893
1.92, 22.81999969
2.02, 22.71999931
2.12, 24.68000031
2.22, 22.71999931
2.32, 21.81999969
2.42, 22.97999954
2.52, 26.59999847
2.62, 22.60000038
2.72, 24.26000023
2.82, 26.26000023
2.92, 26.21999931
3.02, 24.8599987
3.12, 27.27999878
3.22, 26.07999992
3.32, 24.87999916
3.42, 26.29999924
3.52, 26.61999893
3.62, 24.51999855
3.72, 26.31999969
3.82, 26.45999908
3.92, 26
4.02, 27.68000031
4.12, 26.23999977
4.22, 27.42000008
4.32, 24.57999992
4.42, 26.51999855
4.52, 27.93999863
4.62, 26.53999901
4.72, 26.37999916
4.82, 28.09999847
4.92, 28
5.02, 25.57999992
5.12, 28.84000015
5.22, 25.79999924
5.32, 28.26000023
5.42, 27.37999916
5.52, 28.26000023
5.62, 27.18000031
5.72, 27.87999916
5.82, 25.13999939
5.92, 28.84000015
6.02, 27.39999962
6.12, 26.11999893
6.22, 27.03999901
6.32, 27.34000015
6.42, 28.76000023
6.52, 25.34000015
6.62, 28.19999886
6.72, 27.93999863
6.82, 27.26000023
6.92, 27.93999863
7.02, 27.59999847
7.12, 29.39999962
7.22, 27.59999847
7.32, 28.59999847
7.42, 28.09999847
7.52, 27.61999893
7.62, 28.73999977
7.72, 27.43999863
7.82, 27.18000031
7.92, 28.21999931
8.02, 29.63999939
8.12, 27.77999878
8.22, 27.15999985
8.32, 28.07999992
8.42, 29.09999847
8.52, 26.09999847
8.62, 27.5
8.72, 25.8599987
8.82, 26.26000023
8.92, 28.79999924
9.02, 27.39999962
9.12, 28.05999947
9.22, 28.71999931
9.32, 27.65999985
9.42, 26.5
9.52, 29.1799984
9.62, 27.11999893
9.72, 26.59999847
9.82, 26.89999962
9.92, 27.13999939
10.02, 26.05999947
10.12, 28.03999901
10.22, 27.97999954
10.32, 28.27999878
10.419, 27.61999893
10.52, 25.63999939
10.62, 26.43999863
10.719, 27.26000023
10.819, 26.69999886
10.919, 26.89999962
11.019, 25.34000015
11.119, 26.53999901
11.219, 29.21999931
11.319, 25.73999977
11.419, 26.18000031
11.519, 27.57999992
11.619, 26.95999908
11.719, 24.8599987
11.819, 27.26000023
11.919, 25.27999878
12.019, 24.95999908
12.119, 26.97999954
12.219, 27.39999962
12.319, 26.81999969
12.419, 27.5
12.519, 25.23999977
12.619, 28.73999977
12.719, 25.65999985
12.819, 27.71999931
12.919, 26.71999931
13.019, 25.84000015
13.119, 26.07999992
13.219, 26.73999977
13.319, 26.68000031
13.419, 26.84000015
13.519, 25.79999924
13.619, 25.89999962
13.719, 26.39999962
13.819, 25.93999863
13.919, 27.69999886
14.019, 26.42000008
14.119, 26.07999992
