time, value
0, 3172
0.101, 2188
0.2, -1348
0.3, -3757
0.4, 1607
0.5, -1148
0.6, 431
0.7, 1604
0.8, 972
0.9, -893
1, 253
1.1, 720
1.2, -1379
1.3, 2381
1.4, -2923
1.5, 2626
1.601, 298
1.7, -170
1.8, 1740
1.9, -515
2, 1893
2.1, -1335
2.2, -512
2.3, -2946
2.4, 3043
2.5, 3115
2.6, -1028
2.7, 2694
2.8, 946
2.9, 1975
3, -3512
3.1, 2423
3.2, -3357
3.3, 427
3.4, 778
3.5, 159
3.6, -52
3.7, 274
3.8, -348
3.9, 2546
4, -2145
4.101, -1234
4.2, 298
4.3, 659
4.401, 124
4.5, 700
4.6, 376
4.7, -2703
4.8, 3939
4.9, -3445
5, -502
5.1, 4532
5.2, -2658
5.3, -3269
5.4, 2294
5.5, -2575
5.6, 320
5.7, -481
5.8, -54
5.9, -2103
6, 1787
6.1, -1871
6.2, -181
6.3, 1170
6.4, -2067
6.5, 1932
6.6, -17
6.7, -1585
6.8, 2466
6.9, -2599
7, 1407
7.1, -2039
7.2, 584
7.3, 2931
7.4, -3776
7.5, 609
7.6, 95
7.7, 149
7.8, 485
7.9, 36
8, 1320
8.1, -1982
8.2, 449
8.3, -1170
8.4, 2445
8.5, -1897
8.6, 3464
8.7, -2931
8.8, 2357
8.9, 1593
9, -1777
9.1, -54
9.2, 1525
9.3, -1244
9.4, 3156
9.5, -1170
9.6, 1691
9.7, -1476
9.8, 208
9.9, -1166
10, 1447
10.1, -382
10.2, 230
10.3, -821
10.4, 260
10.5, -1639
10.6, 0
10.7, 366
10.8, -1993
10.9, 1920
11, -1580
11.1, 300
11.2, 2971
11.3, -2042
11.4, 1271
11.5, 1545
11.6, -1540
11.7, -349
11.8, -1398
11.9, -839
12, 1038
12.1, 1342
12.2, -458
12.3, 1636
12.4, -513
12.5, -1357
12.6, 517
12.7, -1516
12.8, 2494
12.9, -1288
13, -180
13.1, -742
13.2, 327
13.3, -526
13.4, -18
13.499, -475
13.599, 1529
13.7, -108
13.799, -1354
13.899, 1041
13.999, -1138
14.099, -1422
14.199, -52
14.299, -862
14.4, 4044
14.499, -1642
14.599, 2829
14.699, -1090
14.799, 5300
14.899, -245
14.999, -259
15.099, 2342
15.199, -242
15.299, 531
15.399, -170
15.499, -3151
15.599, 5117
15.7, -2816
15.799, -766
15.899, 71
15.999, 694
16.099, 205
16.199, -736
16.299, -974
16.399, 3424
16.499, 416
16.599, -1128
16.699, -78
16.799, -681
16.899, 2098
16.999, 459
17.099, 2863
17.199, -1194
17.299, -266
17.399, 2145
17.499, -278
17.6, -758
17.699, 171
17.799, 523
17.899, -2980
17.999, 2856
18.099, -254
18.199, -179
18.299, 2456
18.399, -2033
18.499, 810
18.599, 453
18.699, 1345
18.799, -1505
18.899, 1700
19, -1766
19.099, -1808
19.199, 1680
19.299, -1419
19.4, -355
19.499, -1026
19.599, 1484
19.699, -658
19.799, -1893
19.899, 799
19.999, 902
20.099, 39
20.199, -2217
20.299, 1570
20.399, -500
20.499, 1939
20.599, -1939
20.699, 1674
20.799, 1244
20.899, -1807
20.999, 2501
21.099, -829
21.199, 735
21.299, -1765
21.399, 1293
21.499, -1014
21.599, 179
21.699, -961
21.799, 1418
21.899, 0
21.999, -396
22.099, -318
22.199, 775
22.299, -1180
22.399, 1899
22.499, -2498
22.599, 2341
22.699, -873
22.799, 1447
22.899, 697
22.999, -747
23.099, -754
23.199, 1677
23.299, 551
23.399, -1295
23.499, 1668
23.599, -212
23.7, 3939
23.799, -1655
23.899, -1236
23.999, 1873
24.099, -1914
24.199, 3401
24.299, -869
24.399, 0
24.499, -1873
24.599, 1913
24.699, -41
24.799, -1445
24.899, 1367
24.999, 1367
25.099, -3067
25.199, 6661
25.299, -1531
25.399, -81
25.499, 21
25.599, -485
25.699, -1821
25.799, 1590
25.899, -800
25.999, 1502
26.099, -3724
26.199, 492
26.299, -893
26.399, -133
26.499, 1613
26.599, -1424
26.699, 130
26.799, -334
26.899, 209
26.999, -42
27.099, -128
27.199, -661
27.299, 475
27.399, -1245
27.499, 1156
27.599, -2782
27.699, 1301
27.799, -988
27.899, 2170
27.999, -3624
28.099, 7031
28.199, -2552
28.299, -3329
28.399, 2405
28.499, -2017
28.599, 1999
28.699, -3338
28.799, -462
28.899, 2224
28.999, 408
29.099, -135
29.199, 2088
29.3, -948
29.399, 1017
29.499, 254
29.599, -2264
29.699, -980
29.799, 1816
29.899, -732
29.999, -71
30.099, 1017
30.199, 790
30.299, -2326
30.399, 978
30.499, -695
30.599, -337
30.699, -350
30.799, -1262
30.899, 1514
30.999, 1028
31.099, -1112
31.199, 426
31.299, -325
31.399, 844
31.499, 549
31.599, -789
31.699, 1406
31.799, -274
31.899, -602
31.999, -830
32.099, 2365
32.199, 889
32.299, -247
32.399, 1540
32.499, 2097
32.599, -649
32.699, -1155
32.799, -1368
32.899, 1064
32.999, 807
33.099, -2893
33.199, -3983
33.299, 2122
33.399, -1023
33.5, -698
33.599, 1226
33.699, 1034
33.799, 1351
33.899, 1875
33.999, 1468
34.099, 1792
34.199, 724
34.299, 112
34.399, -2171
34.498, 1101
34.599, -353
34.699, -199
34.798, -2127
34.898, 1040
34.998, -551
35.098, -2129
35.199, 622
35.298, 1093
35.398, 420
35.498, -915
35.598, 1435
35.698, 798
35.798, -2554
35.898, -2341
36, 3831
36.098, 4684
36.198, -1750
36.298, -153
36.398, -1185
36.498, 203
36.598, 2763
36.698, 1044
36.798, 1926
36.898, -912
36.998, 1176
37.098, 370
37.198, -3210
37.298, -2256
37.398, 2140
37.498, 781
37.599, 2992
37.698, 830
37.798, 2029
37.898, 497
37.998, 441
38.098, 1105
38.198, 2216
38.299, 721
38.398, -776
38.498, -2043
38.598, 3857
38.698, 1583
38.798, -3275
38.898, -150
38.998, -1145
39.098, 743
39.198, -688
39.298, 635
39.399, 290
39.498, -2199
39.598, 806
39.698, -94
39.798, 1488
39.898, -711
39.998, 1636
40.098, 1825
40.198, -2287
40.298, -585
40.398, 1354
40.498, 429
40.598, -2628
40.698, -656
40.799, -656
40.899, -1738
40.998, -595
41.098, -774
41.198, 2046
41.298, 1503
41.398, -3495
41.498, -2201
41.598, -330
41.698, 852
41.798, 529
41.898, 963
41.998, 2705
42.098, -249
42.198, -2870
42.298, -1391
42.398, 2044
42.498, 1860
42.598, -203
42.698, -748
42.798, 2427
42.898, 4526
42.998, -1649
43.098, -1322
43.198, -2951
43.298, -255
43.398, 354
43.498, -1881
43.598, 1794
43.698, -1415
43.798, 49
43.898, 1103
43.998, 101
44.098, -803
44.198, 150
44.298, 0
44.398, -902
44.498, 301
44.598, 973
44.698, -467
44.798, 470
44.898, 592
44.998, -3395
45.098, 3144
45.198, 272
45.298, -53
45.398, 855
45.498, -2010
45.598, -1435
45.698, 3112
45.799, -465
45.898, 782
45.998, 104
46.098, 1348
46.198, -1844
46.298, 828
46.398, 614
46.498, -607
46.598, 5230
46.698, 3588
46.798, -578
46.898, -1195
46.999, 1363
47.098, 1398
47.198, 760
47.298, 882
47.398, -1646
47.498, 505
47.598, -110
47.698, -1205
47.798, 727
47.898, -2246
47.998, -2356
48.098, -763
48.198, -1305
48.298, 2424
48.398, -1144
48.498, 2818
48.598, 617
48.698, 0
48.798, -1776
48.898, 551
48.998, -1435
49.098, 546
49.198, -1795
49.298, 3469
49.398, 800
49.498, -1180
49.598, -1674
49.698, -54
49.798, -3019
49.898, 1477
49.998, 1261
50.098, -2746
50.198, 822
50.298, 1147
50.398, -471
50.498, 106
50.598, 544
50.698, -1121
50.798, -215
50.898, 214
50.998, -926
51.098, -1502
51.198, 1404
51.298, -905
51.398, 794
51.498, -466
51.598, -252
51.698, 1853
51.798, 4464
51.898, -2035
51.998, 2123
52.098, 3260
52.198, -3044
52.298, 1506
52.398, -1381
52.498, -1418
52.598, 367
52.698, 464
52.798, 1273
52.898, -966
52.998, 610
53.098, -354
53.199, -1687
53.298, -607
53.398, 2001
53.498, 473
53.598, -1606
53.698, 708
53.798, 1157
53.898, -509
53.998, -1678
54.098, -667
54.198, 1635
54.298, -1360
54.398, -263
54.498, -161
54.598, 434
54.698, 2506
54.798, 896
54.898, 950
54.998, -2724
55.098, -163
55.198, 1083
55.298, 1362
55.398, -1671
55.498, 53
55.598, -371
55.698, 1396
55.798, 54
55.897, 3206
55.997, -652
56.097, 432
56.197, 870
56.297, -1370
56.397, 1427
56.497, 2411
56.597, -3928
56.697, 2056
56.797, 0
56.897, -1954
56.997, 2469
57.097, 162
57.198, -1377
57.297, 2126
57.397, 545
57.497, 218
57.597, -435
57.697, -1281
57.797, 2494
57.897, 757
57.997, -2863
58.097, -1330
58.197, 1607
58.297, -4644
58.397, -2406
58.498, -2326
58.597, -1369
58.697, 2664
58.797, 2593
58.897, 2736
58.997, -647
59.097, -427
59.197, 2213
59.297, 728
59.397, 3024
59.497, -921
59.597, 432
59.697, 514
59.797, 94
59.897, -2390
59.997, -562
60.097, 895
60.197, 1414
60.297, 2224
60.397, 1495
60.497, 512
60.597, 2429
60.697, 2229
60.797, 1018
60.897, 1872
60.997, 323
61.097, -1718
61.197, 537
61.297, -175
61.397, 0
61.497, -2530
61.597, -2825
61.698, -1153
61.797, -431
61.897, 3791
61.997, 1543
62.097, 1996
62.197, 758
62.297, 994
62.397, 475
62.497, -517
62.597, 92
62.697, -233
62.797, -833
62.897, 740
62.997, 799
63.097, -1975
63.197, 498
63.297, 1442
63.397, 0
63.497, -847
63.597, -2342
63.697, -1532
63.797, -924
63.897, 337
63.997, 594
64.097, 3634
64.197, 1126
64.297, 170
64.397, 538
64.497, 1984
64.597, -1814
64.697, -2205
64.797, 3099
64.897, 2199
64.997, -786
65.097, -3054
65.197, -1280
65.297, 2287
65.397, -927
65.497, -1022
65.597, 1326
65.697, 1801
65.798, 90
65.897, -1334
65.997, 264
66.097, -217
66.197, -1840
66.297, 332
66.397, 2896
66.497, -874
66.597, 377
66.697, -1287
66.797, -1633
66.897, 1391
66.997, 913
67.097, 3308
67.197, 3076
67.297, 528
67.397, -48
67.497, 868
67.597, 48
67.697, 1253
67.797, 1665
67.897, 98
67.997, -1553
68.097, -2507
68.197, 48
68.297, -1237
68.397, -738
68.497, 374
68.597, 2250
68.697, 0
68.797, -1047
68.897, -2621
68.997, 94
69.097, 470
69.197, -1030
69.297, -652
69.397, 1292
69.497, -46
69.597, -93
69.697, 1687
69.797, -1610
69.897, -1651
69.997, -1145
