time, value
0.791, 80.80000305
1.79, 80.80000305
2.79, 80.80000305
3.79, 80.80000305
4.79, 80.80000305
5.79, 80.80000305
6.79, 82.59999847
7.789, 82.59999847
8.79, 82.59999847
9.789, 82.59999847
10.79, 82.59999847
11.789, 82.59999847
12.79, 84.40000153
13.789, 84.40000153
14.79, 84.40000153
15.789, 84.40000153
16.79, 86.20000458
17.789, 86.20000458
18.79, 86.20000458
19.789, 86.20000458
20.789, 88
21.789, 88
22.789, 88
23.789, 89.80000305
24.789, 89.80000305
25.789, 91.59999847
26.789, 91.59999847
27.788, 91.59999847
28.789, 93.40000153
29.788, 93.40000153
30.789, 93.40000153
31.788, 93.40000153
32.79, 95.20000458
33.788, 95.20000458
34.789, 95.20000458
35.788, 95.20000458
36.789, 97
37.788, 97
38.789, 97
39.788, 98.80000305
40.788, 98.80000305
41.788, 98.80000305
42.789, 98.80000305
43.788, 100.5999985
44.788, 100.5999985
45.788, 100.5999985
46.789, 100.5999985
47.787, 102.4000015
48.788, 102.4000015
49.787, 102.4000015
50.788, 102.4000015
51.787, 102.4000015
52.788, 104.2000046
53.787, 104.2000046
54.788, 104.2000046
55.787, 104.2000046
56.788, 106
57.787, 106
58.788, 106
59.787, 106
60.787, 107.8000031
61.787, 107.8000031
62.788, 107.8000031
63.787, 107.8000031
64.787, 109.5999985
65.787, 109.5999985
66.787, 109.5999985
67.786, 109.5999985
68.787, 111.4000015
69.786, 111.4000015
70.787, 111.4000015
71.786, 111.4000015
72.787, 113.2000046
73.786, 113.2000046
74.787, 113.2000046
75.786, 113.2000046
76.787, 115
77.786, 115
78.787, 115
79.786, 115
80.786, 115
81.786, 116.8000031
82.786, 116.8000031
83.787, 116.8000031
84.786, 116.8000031
85.786, 118.5999985
86.786, 118.5999985
87.785, 120.4000015
88.786, 120.4000015
89.785, 120.4000015
90.786, 120.4000015
91.785, 120.4000015
92.786, 122.2000046
93.785, 122.2000046
94.786, 122.2000046
95.785, 122.2000046
96.786, 124
97.785, 124
98.786, 124
99.785, 124
100.785, 124
101.785, 125.8000031
102.785, 125.8000031
103.785, 125.8000031
104.785, 127.5999985
105.785, 127.5999985
106.785, 127.5999985
107.784, 127.5999985
108.785, 127.5999985
109.784, 129.4000092
110.785, 129.4000092
111.784, 129.4000092
112.785, 129.4000092
113.785, 129.4000092
114.785, 129.4000092
115.784, 131.1999969
116.786, 131.1999969
117.784, 131.1999969
118.785, 133
119.784, 133
120.784, 133
121.784, 133
122.784, 133
123.784, 134.8000031
124.784, 134.8000031
125.784, 134.8000031
126.784, 134.8000031
127.783, 134.8000031
128.784, 134.8000031
129.783, 134.8000031
130.784, 134.8000031
131.783, 136.6000061
132.784, 136.6000061
133.783, 136.6000061
134.784, 136.6000061
135.783, 138.4000092
136.784, 138.4000092
137.783, 138.4000092
138.784, 138.4000092
139.783, 138.4000092
140.783, 138.4000092
141.783, 138.4000092
142.783, 138.4000092
143.783, 138.4000092
144.783, 140.1999969
145.783, 140.1999969
146.783, 140.1999969
147.782, 140.1999969
148.783, 142
149.782, 142
150.783, 142
151.782, 142
152.783, 142
153.782, 142
154.783, 142
155.782, 142
156.783, 140.1999969
157.782, 140.1999969
158.783, 140.1999969
159.782, 140.1999969
160.782, 140.1999969
161.782, 140.1999969
162.782, 140.1999969
163.782, 140.1999969
164.782, 140.1999969
165.782, 140.1999969
166.782, 140.1999969
167.781, 140.1999969
168.782, 140.1999969
169.781, 142
170.782, 142
171.781, 142
172.782, 142
173.781, 142
174.782, 142
175.781, 142
176.782, 142
177.781, 142
178.782, 142
179.781, 142
180.782, 142
181.781, 142
182.781, 142
183.781, 142
184.781, 142
185.781, 142
186.781, 142
187.78, 142
188.781, 142
189.78, 143.8000031
190.781, 143.8000031
191.78, 143.8000031
192.781, 143.8000031
193.78, 143.8000031
194.781, 143.8000031
195.78, 143.8000031
196.781, 143.8000031
197.781, 143.8000031
198.781, 143.8000031
199.78, 143.8000031
200.78, 143.8000031
201.78, 143.8000031
202.78, 143.8000031
203.78, 143.8000031
204.78, 143.8000031
205.779, 143.8000031
206.78, 143.8000031
207.779, 143.8000031
208.78, 143.8000031
209.779, 143.8000031
210.78, 145.6000061
211.779, 145.6000061
212.78, 145.6000061
213.779, 145.6000061
214.78, 145.6000061
215.779, 145.6000061
216.78, 145.6000061
217.779, 145.6000061
218.779, 145.6000061
219.779, 145.6000061
220.779, 145.6000061
221.779, 145.6000061
222.779, 147.4000092
223.779, 147.4000092
224.779, 147.4000092
225.778, 147.4000092
226.779, 147.4000092
227.778, 147.4000092
228.779, 147.4000092
229.778, 147.4000092
230.779, 147.4000092
231.778, 147.4000092
232.779, 147.4000092
233.778, 147.4000092
234.779, 147.4000092
235.778, 147.4000092
236.779, 147.4000092
237.778, 147.4000092
238.778, 147.4000092
239.778, 147.4000092
240.778, 147.4000092
241.778, 147.4000092
242.778, 147.4000092
243.778, 147.4000092
244.778, 147.4000092
245.777, 147.4000092
246.778, 147.4000092
247.777, 147.4000092
248.778, 147.4000092
249.777, 147.4000092
250.778, 147.4000092
251.777, 147.4000092
252.778, 147.4000092
253.777, 147.4000092
254.778, 147.4000092
255.777, 147.4000092
256.778, 147.4000092
257.777, 147.4000092
258.777, 149.1999969
259.777, 149.1999969
260.777, 149.1999969
261.777, 149.1999969
262.777, 149.1999969
263.777, 149.1999969
264.777, 149.1999969
265.776, 149.1999969
266.777, 149.1999969
267.776, 149.1999969
268.777, 149.1999969
269.776, 149.1999969
270.777, 149.1999969
271.776, 149.1999969
272.777, 149.1999969
273.776, 151
274.777, 151
275.776, 151
276.777, 151
277.776, 151
278.776, 151
279.776, 151
280.776, 151
281.776, 151
282.777, 151
283.775, 151
284.776, 151
285.775, 151
286.776, 152.8000031
287.775, 152.8000031
288.777, 152.8000031
289.775, 152.8000031
290.776, 152.8000031
291.775, 152.8000031
292.776, 152.8000031
293.775, 152.8000031
294.776, 152.8000031
295.775, 152.8000031
296.775, 152.8000031
297.775, 152.8000031
298.775, 152.8000031
299.775, 152.8000031
300.775, 152.8000031
301.775, 152.8000031
302.775, 152.8000031
303.774, 154.6000061
304.775, 154.6000061
305.774, 154.6000061
306.775, 154.6000061
307.774, 154.6000061
308.775, 154.6000061
309.774, 154.6000061
310.775, 154.6000061
311.774, 154.6000061
312.775, 154.6000061
313.774, 154.6000061
314.775, 154.6000061
315.774, 154.6000061
316.774, 154.6000061
317.774, 154.6000061
318.774, 154.6000061
319.774, 154.6000061
320.774, 154.6000061
321.774, 154.6000061
322.774, 154.6000061
323.773, 154.6000061
324.774, 154.6000061
325.773, 154.6000061
326.774, 154.6000061
327.773, 154.6000061
328.774, 154.6000061
329.773, 154.6000061
330.774, 154.6000061
331.773, 154.6000061
332.774, 154.6000061
333.773, 154.6000061
334.774, 154.6000061
335.773, 156.4000092
336.773, 156.4000092
337.773, 156.4000092
338.773, 156.4000092
339.773, 156.4000092
340.773, 156.4000092
341.772, 156.4000092
342.773, 156.4000092
343.772, 156.4000092
344.773, 156.4000092
345.772, 156.4000092
346.773, 156.4000092
347.772, 156.4000092
348.773, 156.4000092
349.773, 156.4000092
350.773, 158.1999969
351.772, 158.1999969
352.773, 158.1999969
353.772, 158.1999969
354.772, 158.1999969
355.772, 158.1999969
356.772, 158.1999969
357.772, 158.1999969
358.772, 158.1999969
359.772, 158.1999969
360.772, 158.1999969
361.771, 158.1999969
362.772, 158.1999969
363.771, 158.1999969
364.772, 158.1999969
365.771, 158.1999969
366.772, 158.1999969
367.771, 158.1999969
368.772, 158.1999969
369.771, 158.1999969
370.772, 160
371.771, 160
372.772, 160
373.771, 160
374.771, 160
375.771, 160
376.771, 160
377.771, 160
378.771, 160
379.771, 160
380.771, 160
381.77, 160
382.771, 160
383.77, 160
384.771, 160
385.77, 160
386.771, 160
387.77, 161.8000031
388.771, 161.8000031
389.77, 161.8000031
390.771, 161.8000031
391.77, 161.8000031
392.77, 161.8000031
393.77, 161.8000031
394.77, 161.8000031
395.77, 163.6000061
396.77, 163.6000061
397.77, 163.6000061
398.77, 163.6000061
399.769, 163.6000061
400.77, 163.6000061
401.769, 165.4000092
402.77, 165.4000092
403.769, 165.4000092
404.77, 165.4000092
405.769, 165.4000092
406.77, 165.4000092
407.769, 165.4000092
408.77, 165.4000092
409.769, 165.4000092
410.77, 165.4000092
411.769, 165.4000092
412.769, 165.4000092
413.769, 165.4000092
414.769, 165.4000092
415.769, 165.4000092
416.769, 165.4000092
417.769, 165.4000092
418.769, 167.1999969
419.768, 167.1999969
420.769, 167.1999969
421.768, 167.1999969
422.769, 167.1999969
423.768, 167.1999969
424.769, 167.1999969
425.768, 167.1999969
426.769, 167.1999969
427.768, 167.1999969
428.769, 167.1999969
429.768, 167.1999969
430.769, 167.1999969
431.768, 167.1999969
432.768, 167.1999969
433.768, 169
434.768, 169
435.768, 169
436.768, 169
437.768, 169
438.768, 169
439.768, 169
440.768, 169
441.767, 169
442.768, 170.8000031
443.767, 170.8000031
444.768, 170.8000031
445.767, 170.8000031
446.768, 170.8000031
447.767, 170.8000031
448.768, 170.8000031
449.767, 170.8000031
450.767, 170.8000031
451.767, 170.8000031
